
> wordle-scratch-pad@0.0.0 noodle
> node index.js

prev: 89, now 89, 559
prev: 89, now 89, 560
prev: 89, now 89, 561
prev: 89, now 89, 562
prev: 89, now 90, 563
prev: 90, now 90, 564
prev: 90, now 90, 565
prev: 90, now 90, 566
prev: 90, now 90, 567
prev: 90, now 90, 568
prev: 90, now 90, 569
prev: 90, now 90, 570
prev: 90, now 90, 571
prev: 90, now 90, 572
prev: 90, now 90, 573
prev: 90, now 90, 574
prev: 90, now 90, 575
prev: 90, now 90, 576
prev: 90, now 90, 577
prev: 90, now 90, 578
prev: 90, now 90, 579
prev: 90, now 90, 580
prev: 90, now 90, 581
prev: 90, now 90, 582
prev: 90, now 90, 583
prev: 90, now 90, 584
prev: 90, now 90, 585
prev: 90, now 90, 586
prev: 90, now 90, 587
prev: 90, now 90, 588
prev: 90, now 90, 589
prev: 90, now 90, 590
prev: 90, now 90, 591
prev: 90, now 90, 592
prev: 90, now 90, 593
prev: 90, now 90, 594
prev: 90, now 90, 595
prev: 90, now 90, 596
prev: 90, now 90, 597
prev: 90, now 90, 598
prev: 90, now 90, 599
prev: 90, now 90, 600
prev: 90, now 90, 601
prev: 90, now 90, 602
prev: 90, now 90, 603
prev: 90, now 90, 604
prev: 90, now 90, 605
prev: 90, now 90, 606
prev: 90, now 90, 607
prev: 90, now 90, 608
prev: 90, now 90, 609
prev: 90, now 90, 610
prev: 90, now 90, 611
prev: 90, now 90, 612
prev: 90, now 90, 613
prev: 90, now 90, 614
prev: 90, now 90, 615
prev: 90, now 90, 616
prev: 90, now 90, 617
prev: 90, now 90, 618
prev: 90, now 90, 619
prev: 90, now 90, 620
prev: 90, now 90, 621
prev: 90, now 90, 622
prev: 90, now 90, 623
prev: 90, now 90, 624
prev: 90, now 90, 625
prev: 90, now 90, 626
prev: 90, now 90, 627
prev: 90, now 90, 628
prev: 90, now 90, 629
prev: 90, now 90, 630
prev: 90, now 90, 631
prev: 90, now 90, 632
prev: 90, now 90, 633
prev: 90, now 90, 634
prev: 90, now 90, 635
prev: 90, now 90, 636
prev: 90, now 90, 637
prev: 90, now 90, 638
prev: 90, now 90, 639
prev: 90, now 90, 640
prev: 90, now 90, 641
prev: 90, now 90, 642
prev: 90, now 90, 643
prev: 90, now 90, 644
prev: 90, now 90, 645
prev: 90, now 90, 646
prev: 90, now 90, 647
prev: 90, now 90, 648
prev: 90, now 90, 649
prev: 90, now 91, 650
prev: 91, now 91, 651
prev: 91, now 91, 652
prev: 91, now 91, 653
prev: 91, now 91, 654
prev: 91, now 91, 655
prev: 91, now 91, 656
prev: 91, now 91, 657
prev: 91, now 91, 658
prev: 91, now 91, 659
prev: 91, now 91, 660
prev: 91, now 91, 661
prev: 91, now 91, 662
prev: 91, now 91, 663
prev: 91, now 91, 664
prev: 91, now 91, 665
prev: 91, now 91, 666
prev: 91, now 91, 667
prev: 91, now 91, 668
prev: 91, now 91, 669
prev: 91, now 91, 670
prev: 91, now 91, 671
prev: 91, now 91, 672
prev: 91, now 91, 673
prev: 91, now 91, 674
prev: 91, now 91, 675
prev: 91, now 91, 676
prev: 91, now 91, 677
prev: 91, now 91, 678
prev: 91, now 91, 679
prev: 91, now 91, 680
prev: 91, now 91, 681
prev: 91, now 91, 682
prev: 91, now 91, 683
prev: 91, now 91, 684
prev: 91, now 91, 685
prev: 91, now 91, 686
prev: 91, now 91, 687
prev: 91, now 91, 688
prev: 91, now 91, 689
prev: 91, now 91, 690
prev: 91, now 91, 691
prev: 91, now 91, 692
prev: 91, now 91, 693
prev: 91, now 91, 694
prev: 91, now 91, 695
prev: 91, now 91, 696
prev: 91, now 91, 697
prev: 91, now 91, 698
prev: 91, now 91, 699
prev: 91, now 91, 700
prev: 91, now 91, 701
prev: 91, now 91, 702
prev: 91, now 91, 703
prev: 91, now 91, 704
prev: 91, now 91, 705
prev: 91, now 91, 706
prev: 91, now 91, 707
prev: 91, now 91, 708
prev: 91, now 91, 709
prev: 91, now 91, 710
prev: 91, now 91, 711
prev: 91, now 91, 712
prev: 91, now 91, 713
prev: 91, now 91, 714
prev: 91, now 91, 715
prev: 91, now 91, 716
prev: 91, now 91, 717
prev: 91, now 91, 718
prev: 91, now 91, 719
prev: 91, now 91, 720
prev: 91, now 91, 721
prev: 91, now 91, 722
prev: 91, now 91, 723
prev: 91, now 91, 724
prev: 91, now 91, 725
prev: 91, now 91, 726
prev: 91, now 91, 727
prev: 91, now 91, 728
prev: 91, now 91, 729
prev: 91, now 91, 730
prev: 91, now 91, 731
prev: 91, now 91, 732
prev: 91, now 91, 733
prev: 91, now 91, 734
prev: 91, now 91, 735
prev: 91, now 91, 736
prev: 91, now 91, 737
prev: 91, now 91, 738
prev: 91, now 91, 739
prev: 91, now 91, 740
prev: 91, now 91, 741
prev: 91, now 91, 742
prev: 91, now 91, 743
prev: 91, now 91, 744
prev: 91, now 91, 745
prev: 91, now 91, 746
prev: 91, now 91, 747
prev: 91, now 91, 748
prev: 91, now 91, 749
prev: 91, now 91, 750
prev: 91, now 91, 751
prev: 91, now 91, 752
prev: 91, now 91, 753
prev: 91, now 91, 754
prev: 91, now 91, 755
prev: 91, now 91, 756
prev: 91, now 91, 757
prev: 91, now 91, 758
prev: 91, now 91, 759
prev: 91, now 91, 760
prev: 91, now 91, 761
prev: 91, now 91, 762
prev: 91, now 91, 763
prev: 91, now 91, 764
prev: 91, now 91, 765
prev: 91, now 92, 766
prev: 92, now 92, 767
prev: 92, now 92, 768
prev: 92, now 92, 769
prev: 92, now 92, 770
prev: 92, now 92, 771
prev: 92, now 92, 772
prev: 92, now 92, 773
prev: 92, now 92, 774
prev: 92, now 92, 775
prev: 92, now 92, 776
prev: 92, now 92, 777
prev: 92, now 92, 778
prev: 92, now 92, 779
prev: 92, now 92, 780
prev: 92, now 92, 781
prev: 92, now 92, 782
prev: 92, now 93, 783
prev: 93, now 93, 784
prev: 93, now 93, 785
prev: 93, now 93, 786
prev: 93, now 93, 787
prev: 93, now 94, 788
prev: 94, now 94, 789
prev: 94, now 94, 790
prev: 94, now 94, 791
prev: 94, now 94, 792
prev: 94, now 94, 793
prev: 94, now 94, 794
prev: 94, now 94, 795
prev: 94, now 94, 796
prev: 94, now 94, 797
prev: 94, now 94, 798
prev: 94, now 94, 799
prev: 94, now 94, 800
prev: 94, now 94, 801
prev: 94, now 94, 802
prev: 94, now 94, 803
prev: 94, now 94, 804
prev: 94, now 94, 805
prev: 94, now 94, 806
prev: 94, now 94, 807
prev: 94, now 94, 808
prev: 94, now 94, 809
prev: 94, now 94, 810
prev: 94, now 94, 811
prev: 94, now 94, 812
prev: 94, now 94, 813
prev: 94, now 94, 814
prev: 94, now 94, 815
